,DATE,New Private Housing Structures Authorized,Hurricane,Hurricane Date,Location,Housing Auth Month,Delta
76,2009-01-01,7845,Ivan,2004-09-04,"Pensacola, FL",1,4
77,2009-04-01,7705,Ivan,2004-09-04,"Pensacola, FL",4,4
78,2009-07-01,7784,Ivan,2004-09-04,"Pensacola, FL",7,4
79,2009-10-01,7726,Ivan,2004-09-04,"Pensacola, FL",10,5
80,2010-01-01,7690,Ivan,2004-09-04,"Pensacola, FL",1,5
81,2010-04-01,7738,Ivan,2004-09-04,"Pensacola, FL",4,5
82,2010-07-01,7726,Ivan,2004-09-04,"Pensacola, FL",7,5
83,2010-10-01,7647,Ivan,2004-09-04,"Pensacola, FL",10,6
84,2011-01-01,7642,Ivan,2004-09-04,"Pensacola, FL",1,6
85,2011-04-01,7638,Ivan,2004-09-04,"Pensacola, FL",4,6
86,2011-07-01,7625,Ivan,2004-09-04,"Pensacola, FL",7,6
87,2011-10-01,7637,Ivan,2004-09-04,"Pensacola, FL",10,7
88,2012-01-01,7663,Ivan,2004-09-04,"Pensacola, FL",1,7
89,2012-04-01,7765,Ivan,2004-09-04,"Pensacola, FL",4,7
90,2012-07-01,7833,Ivan,2004-09-04,"Pensacola, FL",7,7
91,2012-10-01,7794,Ivan,2004-09-04,"Pensacola, FL",10,8
92,2013-01-01,7826,Ivan,2004-09-04,"Pensacola, FL",1,8
93,2013-04-01,7816,Ivan,2004-09-04,"Pensacola, FL",4,8
94,2013-07-01,7899,Ivan,2004-09-04,"Pensacola, FL",7,8
95,2013-10-01,7983,Ivan,2004-09-04,"Pensacola, FL",10,9
96,2014-01-01,7895,Ivan,2004-09-04,"Pensacola, FL",1,9
97,2014-04-01,7969,Ivan,2004-09-04,"Pensacola, FL",4,9
98,2014-07-01,7964,Ivan,2004-09-04,"Pensacola, FL",7,9
99,2014-10-01,8062,Ivan,2004-09-04,"Pensacola, FL",10,10
100,2015-01-01,8059,Ivan,2004-09-04,"Pensacola, FL",1,10
101,2015-04-01,7759,Ivan,2004-09-04,"Pensacola, FL",4,10
102,2015-07-01,7815,Ivan,2004-09-04,"Pensacola, FL",7,10
103,2015-10-01,7886,Ivan,2004-09-04,"Pensacola, FL",10,11
104,2016-01-01,7861,Ivan,2004-09-04,"Pensacola, FL",1,11
105,2016-04-01,7871,Ivan,2004-09-04,"Pensacola, FL",4,11
106,2016-07-01,7925,Ivan,2004-09-04,"Pensacola, FL",7,11
107,2016-10-01,8016,Ivan,2004-09-04,"Pensacola, FL",10,12
108,2017-01-01,7967,Ivan,2004-09-04,"Pensacola, FL",1,12
109,2017-04-01,8036,Ivan,2004-09-04,"Pensacola, FL",4,12
110,2017-07-01,7889,Ivan,2004-09-04,"Pensacola, FL",7,12
111,2017-10-01,7962,Ivan,2004-09-04,"Pensacola, FL",10,13
112,2018-01-01,7907,Ivan,2004-09-04,"Pensacola, FL",1,13
113,2018-04-01,7988,Ivan,2004-09-04,"Pensacola, FL",4,13
114,2018-07-01,7998,Ivan,2004-09-04,"Pensacola, FL",7,13
115,2018-10-01,8123,Ivan,2004-09-04,"Pensacola, FL",10,14
116,2019-01-01,8144,Ivan,2004-09-04,"Pensacola, FL",1,14
117,2019-04-01,8205,Ivan,2004-09-04,"Pensacola, FL",4,14
118,2019-07-01,8264,Ivan,2004-09-04,"Pensacola, FL",7,14
119,2019-10-01,8317,Ivan,2004-09-04,"Pensacola, FL",10,15
120,2020-01-01,8333,Ivan,2004-09-04,"Pensacola, FL",1,15
121,2020-04-01,8429,Ivan,2004-09-04,"Pensacola, FL",4,15
122,2020-07-01,8598,Ivan,2004-09-04,"Pensacola, FL",7,15
123,2020-10-01,8617,Ivan,2004-09-04,"Pensacola, FL",10,16
124,2021-01-01,8653,Ivan,2004-09-04,"Pensacola, FL",1,16
125,2021-04-01,8825,Ivan,2004-09-04,"Pensacola, FL",4,16
